"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_exporter_is_up[1]","tests.integration","Thu Jul 25 03:40:30 UTC 2024","skipped","Thu Jul 25 03:40:30 UTC 2024","","test_charm","",""
"Completely cut and restore network (situation when the unit IP doesn't change).","0","test_network_cut_without_ip_change","tests.integration.ha_tests","Thu Jul 25 03:19:52 UTC 2024","broken","Thu Jul 25 03:19:52 UTC 2024","","test_self_healing","",""
"Test that the pre-upgrade-check action runs successfully.","0","test_pre_upgrade_check","tests.integration.ha_tests","Thu Jul 25 03:33:22 UTC 2024","skipped","Thu Jul 25 03:33:22 UTC 2024","","test_upgrade","",""
"Test that async replication fails back correctly.","0","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Thu Jul 25 03:53:54 UTC 2024","skipped","Thu Jul 25 03:53:54 UTC 2024","","test_async_replication","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","Thu Jul 25 03:19:52 UTC 2024","broken","Thu Jul 25 03:19:52 UTC 2024","","test_self_healing","",""
"Deploy Landscape Scalable Bundle to test the 'db-admin' relation.","3028949","test_landscape_scalable_bundle_db","tests.integration","Thu Jul 25 03:28:21 UTC 2024","broken","Thu Jul 25 04:18:50 UTC 2024","","test_db_admin","",""
"Test that relation data, like connection data, is updated correctly when scaling.","823394","test_relation_data_is_updated_correctly_when_scaling","tests.integration.new_relations","Thu Jul 25 03:45:07 UTC 2024","passed","Thu Jul 25 03:58:51 UTC 2024","","test_new_relations","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","0","test_storage_re_use","tests.integration.ha_tests","Thu Jul 25 03:19:51 UTC 2024","broken","Thu Jul 25 03:19:51 UTC 2024","","test_self_healing","",""
"","0","test_database_is_up[2]","tests.integration","Thu Jul 25 03:40:30 UTC 2024","skipped","Thu Jul 25 03:40:30 UTC 2024","","test_charm","",""
"","0","test_restart_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Thu Jul 25 03:19:51 UTC 2024","broken","Thu Jul 25 03:19:51 UTC 2024","","test_self_healing","",""
"","0","test_settings_are_correct[0]","tests.integration","Thu Jul 25 03:40:30 UTC 2024","skipped","Thu Jul 25 03:40:30 UTC 2024","","test_charm","",""
"","","test_scale_up","tests.integration","","unknown","","","test_subordinates","",""
